FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+B2+Sec.,WROUGHT,other,7.6,T,25,841,1050,35,
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+BCC+B2+Sec.,WROUGHT,other,7.6,T,25,161,1650,7,
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+BCC+B2+Sec.,WROUGHT,other,7.6,T,25,187,1850,5,
Al1 Co1 Cr1 Ni1,29.97548371,26.44707127,,29.85341092,,,,13.7240341,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.4,C,25,1750,,16.7,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,378.7,700.1,54,220
C0.5 Co1 Cr1 Fe1 Mn1 Ni1,20.57641043,18.15436236,19.49823767,20.49261462,19.18155934,,,,2.096815585,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,25,520.9,791.4,40.3,
C1 Co1 Cr1 Fe1 Mn1 Ni1,20.15382195,17.78151674,19.09779219,20.0717471,18.78761764,,,,4.107504377,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.3,T,25,643.8,887.6,31.9,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,,,8,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,,,14,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,1100,1300,32,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,950,,36,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,649,,42,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,439,,63,231
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,33.69225545,17.47908911,5.619122479,33.5550464,,,,,,9.654486558,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.6,T,25,309,,82,231
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,386.2,666.3,57.5,220
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,CAST,other,8.1,T,25,628,950,14.5,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,ANNEAL,other,8.1,T,25,545,690,5,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,ANNEAL,other,8.1,T,25,534,682,5.2,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,ANNEAL,other,8.1,T,25,525,680,4.3,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,ANNEAL,other,8.1,T,25,517,677,4.6,
Cr1 Cu1 Fe1 Mn1 Ni1,,18.24305833,19.59349936,20.59273449,19.27527384,,,,,,,22.29543397,,,,,,,,,,,,,,,Other,ANNEAL,other,8.1,T,25,502,671,4.9,
Co1 Ni1 V1,34.96096531,,,34.81858953,,,,,,,,,30.22044516,,,,,,,,,,,,,,,WROUGHT,other,7.8,T,25,991,1359,38,
Co1 Ni1 V1,34.96096531,,,34.81858953,,,,,,,,,30.22044516,,,,,,,,,,,,,,,WROUGHT,other,7.8,T,25,767,1224,46,
Co1 Ni1 V1,34.96096531,,,34.81858953,,,,,,,,,30.22044516,,,,,,,,,,,,,,,WROUGHT,other,7.8,T,25,602,1123,51,
Co1 Ni1 V1,34.96096531,,,34.81858953,,,,,,,,,30.22044516,,,,,,,,,,,,,,,WROUGHT,other,7.8,T,25,517,1049,55,
Co1 Ni1 V1,34.96096531,,,34.81858953,,,,,,,,,30.22044516,,,,,,,,,,,,,,,WROUGHT,other,7.8,T,25,461,886,58,
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC+B2+Sec.,WROUGHT,other,7.6,T,25,840,1039,32,
Al0.3 Co1 Cr1 Fe1 Ni1,25.23231559,22.26222119,23.91018044,25.12955897,,,,3.465723818,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.6,T,25,159,410,65,210
Al0.544 C0.001 Co0.69 Fe1 Ni0.69,26.80588764,,36.81347783,26.69672278,,,,9.675993998,0.007917749,,,,,,,,,,,,,,,,,,B2+L12,CAST,other,7,C,25,1202,,32.6,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,WROUGHT,BCC,9.9,,,,,,107
Co0.5 Cr0.5 Fe1 Ni1,17.3329804,15.29271628,32.84951692,34.5247864,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.2,T,25,214,612,77.3,219
Co0.875 Cr0.625 Fe1 Ni1,25.96469696,16.36313857,28.11906987,29.5530946,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,241,721,96.2,220
Co1 Cr0.556 Fe0.667 Ni0.667,35.88232808,17.60219346,22.67943298,23.83604548,,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8.3,T,25,299,841,76.1,222
Co1 Cr0.455 Fe0.364 Ni0.364,47.41838732,19.03573113,16.35587976,17.1900018,,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,8.3,T,25,392,746,20.3,
Co1 Cr0.385 Fe0.154 Ni0.154,61.0133654,20.725122,8.90371904,9.357793564,,,,,,,,,,,,,,,,,,,,,,,FCC+HCP,WROUGHT,other,8.4,T,25,482,857,13.3,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,BCC,WROUGHT,BCC,8,T,25,1290,1415,1.1,220
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,FCC+BCC+Sec.,WROUGHT,other,8,T,25,1135,1260,1.8,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,FCC+BCC+Sec.,WROUGHT,other,8,T,25,585,815,31.7,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,FCC+Sec.,WROUGHT,other,8,T,25,425,735,40.2,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,FCC,WROUGHT,FCC,8,T,25,270,630,46.2,220
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,21.63219557,18.4277376,19.3968441,21.85000016,18.69322257,,,,,,,,,,,,,,,,,,,,,,,WROUGHT,other,8,T,25,1120,1175,1.5,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,23,1841,,,107
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,23,1100,,,189
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,23,1100,,,151
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,23,1260,,,126
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,23,1512,,,137
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,23,1575,,,128
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,23,1600,,,143
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,23,929,,,107
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,23,1515,,,209
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,23,1343,,,222
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,OTHER,BCC,12.4,C,23,1246,,,229
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,OTHER,BCC,13.7,C,23,996,,,250
Mo1 Nb1 Ti1,,,,,,39.24671451,20.22067987,,,40.53260562,,,,,,,,,,,,,,,,,BCC,OTHER,BCC,7.7,C,23,1100,,,177
Nb1 Ta0.3 Ti1 Zr1,,,,,,32.45268467,16.72026195,,,,,,,,,,,18.96190252,31.86515086,,,,,,,,BCC,OTHER,BCC,7.4,C,23,882,,,101
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,OTHER,BCC,6.5,C,23,975,,,94
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,1000,298,,,107
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,1000,375,,,189
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,1000,540,,,151
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,1000,368,,,126
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1000,814,,,137
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,1000,635,,,128
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1000,855,,,143
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,1000,295,,,107
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,1000,753,,,209
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,1000,620,,,222
Mo1 Nb1 Ta1 V1 W1,,,,,,15.36687915,,,,15.87036418,,,8.425931133,,,,,29.92924084,,,30.40758469,,,,,,BCC,OTHER,BCC,12.4,C,1000,842,,,229
Mo1 Nb1 Ta1 W1,,,,,,16.78081944,,,,17.33063124,,,,,,,,32.683096,,,33.20545332,,,,,,BCC,OTHER,BCC,13.7,C,1000,548,,,250
Mo1 Nb1 Ti1,,,,,,39.24671451,20.22067987,,,40.53260562,,,,,,,,,,,,,,,,,BCC,OTHER,BCC,7.7,C,1000,504,,,177
Nb1 Ta0.3 Ti1 Zr1,,,,,,32.45268467,16.72026195,,,,,,,,,,,18.96190252,31.86515086,,,,,,,,BCC,OTHER,BCC,7.4,C,1000,274,,,101
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,OTHER,BCC,6.5,C,1000,141,,,94
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,17.50196578,9.017357287,2.033186407,,,,,,,,,,34.08763379,17.18510458,20.17475215,,,,,,,BCC,OTHER,BCC,9.1,C,1200,89,,,107
Al1 Cr1 Mo1 Ti1,,23.33804619,,,,,21.484773,12.11068471,,43.06649611,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6,C,1200,100,,,189
Al1 Mo1 Nb1 Ti1,,,,,,35.23103468,18.15172257,10.23188791,,36.38535485,,,,,,,,,,,,,,,,,BCC,ANNEAL,BCC,6.5,C,1200,200,,,151
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,23.65772111,12.18892361,,,12.21642488,,,6.485973074,,,,,,,45.45095732,,,,,,,BCC,CAST,BCC,9,C,1200,60,,,126
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1200,556,,,137
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,1200,187,,,128
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1200,404,,,143
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,C,1200,92,,,107
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,14.23949311,7.336467148,,,14.70604013,,,7.807765464,,,,,27.73349191,,,28.17674223,,,,,,BCC,CAST,BCC,11,C,1200,659,,,209
Mo1 Nb1 Ta1 Ti1 W1,,,,,,15.44543658,7.957792958,,,15.95149548,,,,,,,,30.08224289,,,30.5630321,,,,,,BCC,CAST,BCC,11.8,C,1200,586,,,222
